254.856, 130.111, 8.340, 13.500 False
254.029, 130.004, 8.340, 13.600 False
253.202, 129.903, 8.339, 13.700 False
252.374, 129.803, 8.339, 13.800 False
251.545, 129.709, 8.338, 13.900 False
250.716, 129.617, 8.338, 14.000 False
249.887, 129.532, 8.337, 14.100 False
249.058, 129.447, 8.338, 14.200 False
248.228, 129.366, 8.337, 14.300 False
247.398, 129.288, 8.337, 14.400 False
246.567, 129.216, 8.336, 14.500 False
245.736, 129.148, 8.336, 14.600 False
244.905, 129.082, 8.336, 14.700 False
244.074, 129.020, 8.336, 14.800 False
243.242, 128.963, 8.335, 14.900 False
242.411, 128.908, 8.335, 15.000 False
241.579, 128.856, 8.335, 15.100 False
240.747, 128.807, 8.335, 15.200 False
239.914, 128.762, 8.335, 15.300 False
239.082, 128.717, 8.335, 15.400 False
238.249, 128.681, 8.334, 15.500 False
237.417, 128.645, 8.334, 15.600 False
236.584, 128.617, 8.334, 15.700 False
235.751, 128.588, 8.335, 15.800 False
234.918, 128.566, 8.334, 15.900 False
234.084, 128.544, 8.334, 16.000 False
233.251, 128.525, 8.334, 16.100 False
232.418, 128.510, 8.334, 16.200 False
231.585, 128.498, 8.334, 16.300 False
230.751, 128.486, 8.334, 16.400 False
229.918, 128.477, 8.334, 16.500 False
229.085, 128.469, 8.334, 16.600 False
228.251, 128.464, 8.334, 16.700 False
227.418, 128.460, 8.334, 16.800 False
226.585, 128.459, 8.334, 16.900 False
225.751, 128.458, 8.334, 17.000 False
224.918, 128.460, 8.334, 17.100 False
224.085, 128.463, 8.334, 17.200 False
223.251, 128.468, 8.333, 17.300 False
222.418, 128.474, 8.334, 17.400 False
221.585, 128.485, 8.333, 17.500 False
220.752, 128.496, 8.333, 17.600 False
219.918, 128.508, 8.334, 17.700 False
219.085, 128.521, 8.334, 17.800 False
218.252, 128.536, 8.333, 17.900 False
217.419, 128.552, 8.333, 18.000 False
216.585, 128.569, 8.333, 18.100 False
215.752, 128.587, 8.333, 18.200 False
214.919, 128.606, 8.333, 18.300 False
214.086, 128.625, 8.333, 18.400 False
213.253, 128.646, 8.333, 18.500 False
212.420, 128.671, 8.333, 18.600 False
211.587, 128.695, 8.333, 18.700 False
210.754, 128.720, 8.333, 18.800 False
209.921, 128.745, 8.333, 18.900 False
209.088, 128.771, 8.333, 19.000 False
208.255, 128.798, 8.333, 19.100 False
207.423, 128.825, 8.333, 19.200 False
206.590, 128.852, 8.333, 19.300 False
205.757, 128.879, 8.333, 19.400 False
204.924, 128.907, 8.333, 19.500 False
204.091, 128.935, 8.333, 19.600 False
203.258, 128.963, 8.333, 19.700 False
202.425, 128.991, 8.333, 19.800 False
201.593, 129.019, 8.333, 19.900 False
200.760, 129.046, 8.333, 20.000 False
199.927, 129.074, 8.333, 20.100 False
199.094, 129.102, 8.333, 20.200 False
198.261, 129.129, 8.333, 20.300 False
197.428, 129.156, 8.333, 20.400 False
196.595, 129.183, 8.333, 20.500 False
195.763, 129.210, 8.333, 20.600 False
194.930, 129.236, 8.333, 20.700 False
194.097, 129.262, 8.333, 20.800 False
193.264, 129.287, 8.333, 20.900 False
192.431, 129.312, 8.333, 21.000 False
191.598, 129.337, 8.333, 21.100 False
190.765, 129.361, 8.333, 21.200 False
189.932, 129.384, 8.333, 21.300 False
189.099, 129.407, 8.333, 21.400 False
188.266, 129.429, 8.333, 21.500 False
187.433, 129.451, 8.333, 21.600 False
186.600, 129.471, 8.333, 21.700 False
185.767, 129.492, 8.333, 21.800 False
184.934, 129.511, 8.333, 21.900 False
184.101, 129.530, 8.333, 22.000 False
183.268, 129.548, 8.333, 22.100 False
182.435, 129.566, 8.333, 22.200 False
181.602, 129.582, 8.333, 22.300 False
180.768, 129.598, 8.333, 22.400 False
179.935, 129.614, 8.333, 22.500 False
179.102, 129.628, 8.333, 22.600 False
178.269, 129.642, 8.333, 22.700 False
177.436, 129.655, 8.333, 22.800 False
176.602, 129.667, 8.333, 22.900 False
175.769, 129.679, 8.333, 23.000 False
174.936, 129.690, 8.333, 23.100 False
174.103, 129.700, 8.333, 23.200 False
173.270, 129.710, 8.333, 23.300 False
172.436, 129.718, 8.333, 23.400 False
171.603, 129.726, 8.333, 23.500 False
170.770, 129.734, 8.333, 23.600 False
169.937, 129.740, 8.333, 23.700 False
169.103, 129.746, 8.333, 23.800 False
168.270, 129.751, 8.333, 23.900 False
167.437, 129.756, 8.333, 24.000 False
166.603, 129.760, 8.333, 24.100 False
165.770, 129.764, 8.333, 24.200 False
164.937, 129.767, 8.333, 24.300 False
164.103, 129.770, 8.333, 24.400 False
163.270, 129.771, 8.333, 24.500 False
162.437, 129.769, 8.333, 24.600 False
161.603, 129.768, 8.333, 24.700 False
160.770, 129.766, 8.333, 24.800 False
159.937, 129.764, 8.333, 24.900 False
159.104, 129.761, 8.333, 25.000 False
158.270, 129.758, 8.333, 25.100 False
157.437, 129.755, 8.333, 25.200 False
156.604, 129.751, 8.333, 25.300 False
155.770, 129.747, 8.333, 25.400 False
154.937, 129.742, 8.333, 25.500 False
154.104, 129.737, 8.333, 25.600 False
153.270, 129.732, 8.333, 25.700 False
152.437, 129.727, 8.333, 25.800 False
151.604, 129.721, 8.333, 25.900 False
150.771, 129.715, 8.333, 26.000 False
149.937, 129.709, 8.333, 26.100 False
149.104, 129.703, 8.333, 26.200 False
148.271, 129.696, 8.333, 26.300 False
147.438, 129.690, 8.333, 26.400 False
146.604, 129.683, 8.333, 26.500 False
145.771, 129.676, 8.333, 26.600 False
144.938, 129.669, 8.333, 26.700 False
144.105, 129.662, 8.333, 26.800 False
143.271, 129.654, 8.333, 26.900 False
142.438, 129.647, 8.333, 27.000 False
141.605, 129.640, 8.333, 27.100 False
140.772, 129.632, 8.333, 27.200 False
139.938, 129.625, 8.333, 27.300 False
139.105, 129.617, 8.333, 27.400 False
138.272, 129.610, 8.333, 27.500 False
137.442, 129.603, 8.258, 27.600 False
136.633, 129.596, 7.967, 27.700 False
135.865, 129.589, 7.507, 27.800 False
135.149, 129.582, 6.955, 27.900 False
134.489, 129.577, 6.405, 28.000 False
133.873, 129.571, 6.023, 28.100 False
133.281, 129.566, 5.860, 28.200 False
132.692, 129.561, 5.883, 28.300 False
132.095, 129.556, 5.958, 28.400 False
131.505, 129.551, 5.814, 28.500 False
130.943, 129.546, 5.496, 28.600 False
130.419, 129.541, 5.080, 28.700 False
129.941, 129.537, 4.595, 28.800 False
129.512, 129.534, 4.111, 28.900 False
129.129, 129.530, 3.660, 29.000 False
128.787, 129.528, 3.262, 29.100 False
128.481, 129.525, 2.911, 29.200 False
128.208, 129.523, 2.598, 29.300 False
127.964, 129.521, 2.321, 29.400 False
127.745, 129.520, 2.074, 29.500 False
127.550, 129.518, 1.853, 29.600 False
127.376, 129.517, 1.657, 29.700 False
127.220, 129.516, 1.481, 29.800 False
127.080, 129.515, 1.324, 29.900 False
126.956, 129.514, 1.184, 30.000 False
126.844, 129.513, 1.059, 30.100 False
126.744, 129.512, 0.947, 30.200 False
126.655, 129.512, 0.846, 30.300 False
126.575, 129.511, 0.757, 30.400 False
126.504, 129.511, 0.677, 30.500 False
126.440, 129.511, 0.605, 30.600 False
126.383, 129.510, 0.541, 30.700 False
126.339, 129.510, 0.408, 30.800 False
126.305, 129.510, 0.315, 30.900 False
126.279, 129.510, 0.281, 31.000 False
126.237, 129.510, 0.466, 31.100 False
126.177, 129.510, 0.655, 31.200 False
126.086, 129.509, 1.024, 31.300 False
125.956, 129.509, 1.491, 31.400 False
125.772, 129.508, 2.030, 31.500 False
125.538, 129.507, 2.530, 31.600 False
125.254, 129.505, 3.025, 31.700 False
124.922, 129.504, 3.517, 31.800 False
124.542, 129.502, 4.003, 31.900 False
124.115, 129.500, 4.446, 32.000 False
123.649, 129.498, 4.807, 32.100 False
123.153, 129.496, 5.076, 32.200 False
122.636, 129.493, 5.267, 32.300 False
122.104, 129.491, 5.361, 32.400 False
121.570, 129.489, 5.361, 32.500 False
121.039, 129.487, 5.312, 32.600 False
120.511, 129.485, 5.292, 32.700 False
119.981, 129.483, 5.304, 32.800 False
119.451, 129.482, 5.304, 32.900 False
118.923, 129.480, 5.277, 33.000 False
118.399, 129.479, 5.221, 33.100 False
117.881, 129.478, 5.152, 33.200 False
117.371, 129.476, 5.074, 33.300 False
116.869, 129.475, 4.993, 33.400 False
116.369, 129.475, 4.994, 33.500 False
115.873, 129.474, 4.923, 33.600 False
115.388, 129.473, 4.797, 33.700 False
114.916, 129.473, 4.687, 33.800 False
114.452, 129.473, 4.603, 33.900 False
113.997, 129.473, 4.519, 34.000 False
113.550, 129.473, 4.423, 34.100 False
113.118, 129.473, 4.240, 34.200 False
112.713, 129.474, 3.925, 34.300 False
112.343, 129.474, 3.573, 34.400 False
112.007, 129.474, 3.225, 34.500 False
111.705, 129.475, 2.897, 34.600 False
111.433, 129.475, 2.596, 34.700 False
111.190, 129.476, 2.323, 34.800 False
110.972, 129.476, 2.077, 34.900 False
110.776, 129.477, 1.857, 35.000 False
110.602, 129.477, 1.660, 35.100 False
110.446, 129.477, 1.484, 35.200 False
110.306, 129.478, 1.327, 35.300 False
110.181, 129.478, 1.186, 35.400 False
110.069, 129.478, 1.061, 35.500 False
109.970, 129.479, 0.948, 35.600 False
109.880, 129.479, 0.848, 35.700 False
109.800, 129.479, 0.758, 35.800 False
109.729, 129.479, 0.678, 35.900 False
109.665, 129.479, 0.606, 36.000 False
109.608, 129.479, 0.542, 36.100 False
109.557, 129.480, 0.485, 36.200 False
109.511, 129.480, 0.434, 36.300 False
109.470, 129.480, 0.388, 36.400 False
109.434, 129.480, 0.347, 36.500 False
109.401, 129.480, 0.310, 36.600 False
109.372, 129.480, 0.277, 36.700 False
109.346, 129.480, 0.248, 36.800 False
109.322, 129.482, 0.218, 36.900 False
109.302, 129.482, 0.196, 37.000 False
109.283, 129.482, 0.176, 37.100 False
109.267, 129.482, 0.158, 37.200 False
109.252, 129.482, 0.141, 37.300 False
109.238, 129.482, 0.126, 37.400 False
109.227, 129.482, 0.113, 37.500 False
109.216, 129.482, 0.101, 37.600 False
109.206, 129.482, 0.090, 37.700 False
109.198, 129.482, 0.081, 37.800 False
109.190, 129.482, 0.072, 37.900 False
109.186, 129.482, 0.004, 38.000 False
109.183, 129.482, 0.028, 38.100 False
109.178, 129.482, 0.045, 38.200 False
109.173, 129.482, 0.049, 38.300 False
109.168, 129.482, 0.048, 38.400 False
109.164, 129.482, 0.045, 38.500 False
109.159, 129.482, 0.041, 38.600 False
109.156, 129.482, 0.037, 38.700 False
109.152, 129.482, 0.034, 38.800 False
109.149, 129.482, 0.030, 38.900 False
109.146, 129.482, 0.027, 39.000 False
109.144, 129.482, 0.024, 39.100 False
109.144, 129.482, 0.000, 39.200 False
109.144, 129.482, -0.016, 39.300 False
109.143, 129.482, -0.010, 39.400 False
109.142, 129.482, 0.014, 39.500 False
109.140, 129.482, 0.019, 39.600 False
109.138, 129.482, 0.020, 39.700 False
109.136, 129.482, 0.020, 39.800 False
109.134, 129.482, 0.018, 39.900 False
109.133, 129.482, 0.017, 40.000 False
109.131, 129.482, 0.015, 40.100 False
109.130, 129.482, 0.013, 40.200 False
109.128, 129.482, 0.012, 40.300 False
109.127, 129.482, 0.011, 40.400 False
109.127, 129.482, 0.000, 40.500 False
109.128, 129.482, -0.020, 40.600 False
109.128, 129.482, -0.013, 40.700 False
109.127, 129.482, 0.009, 40.800 False
109.126, 129.482, 0.014, 40.900 False
109.124, 129.482, 0.015, 41.000 False
109.123, 129.482, 0.015, 41.100 False
109.121, 129.482, 0.014, 41.200 False
109.120, 129.482, 0.013, 41.300 False
109.119, 129.482, 0.011, 41.400 False
109.118, 129.482, 0.010, 41.500 False
109.117, 129.482, 0.015, 41.600 False
109.117, 129.482, 0.013, 41.700 False
109.116, 129.482, 0.017, 41.800 False
109.116, 129.482, 0.023, 41.900 False
109.115, 129.483, 0.027, 42.000 False
109.112, 129.485, 0.048, 42.100 False
109.110, 129.486, 0.055, 42.200 False
109.107, 129.489, 0.038, 42.300 False
109.101, 129.494, 0.101, 42.400 False
109.078, 129.509, 0.264, 42.500 False
109.054, 129.529, 0.295, 42.600 False
109.018, 129.547, 0.405, 42.700 False
108.978, 129.568, 0.421, 42.800 False
108.927, 129.587, 0.583, 42.900 False
108.862, 129.612, 0.711, 43.000 False
108.789, 129.632, 0.756, 43.100 False
108.715, 129.651, 0.783, 43.200 False
108.632, 129.665, 0.892, 43.300 False
108.536, 129.684, 1.039, 43.400 False
108.426, 129.704, 1.152, 43.500 False
108.310, 129.728, 1.215, 43.600 False
108.184, 129.747, 1.309, 43.700 False
108.051, 129.773, 1.407, 43.800 False
107.904, 129.795, 1.521, 43.900 False
107.750, 129.824, 1.611, 44.000 False
107.584, 129.849, 1.702, 44.100 False
107.413, 129.879, 1.785, 44.200 False
107.230, 129.908, 1.879, 44.300 False
107.040, 129.937, 1.967, 44.400 False
106.841, 129.971, 2.056, 44.500 False
106.633, 130.003, 2.138, 44.600 False
106.416, 130.035, 2.228, 44.700 False
106.192, 130.068, 2.302, 44.800 False
105.959, 130.097, 2.367, 44.900 False
105.723, 130.126, 2.381, 45.000 False
105.487, 130.157, 2.392, 45.100 False
105.249, 130.182, 2.409, 45.200 False
105.008, 130.210, 2.432, 45.300 False
104.766, 130.240, 2.444, 45.400 False
104.523, 130.270, 2.452, 45.500 False
104.279, 130.294, 2.458, 45.600 False
104.034, 130.322, 2.469, 45.700 False
103.788, 130.336, 2.459, 45.800 False
103.541, 130.348, 2.477, 45.900 False
103.293, 130.350, 2.473, 46.000 False
103.045, 130.357, 2.490, 46.100 False
102.795, 130.361, 2.492, 46.200 False
102.546, 130.371, 2.494, 46.300 False
102.297, 130.372, 2.487, 46.400 False
102.048, 130.375, 2.496, 46.500 False
101.799, 130.363, 2.477, 46.600 False
101.550, 130.350, 2.496, 46.700 False
101.302, 130.324, 2.479, 46.800 False
101.052, 130.305, 2.507, 46.900 False
100.805, 130.271, 2.478, 47.000 False
100.557, 130.238, 2.501, 47.100 False
100.309, 130.198, 2.500, 47.200 False
100.060, 130.165, 2.510, 47.300 False
99.814, 130.119, 2.480, 47.400 False
